RunTime,rad,value,ID,coefficients..Intercept.,coefficients.x1,R.squared,std.error..Intercept.,std.error.x1,timepoint
163.7621823,112,94.38936789,58,123.7344568,-0.179214765,0.98711245,0.333639403,0.002068534,june
169.9656921,180,93.90743897,58,95.96500262,-0.011944417,0.892593843,0.375631302,0.002242673,june
182.6603628,272,94.51408616,58,73.44863261,0.115529364,0.974422838,0.340696473,0.00189074,june
192.0268571,351,96.26129885,58,59.00167897,0.193890989,0.989777694,0.377305254,0.001990445,june
208.0272376,430,251.4415416,58,62.27510471,0.907637749,0.992645265,1.940113449,0.009438289,june
224.4942254,482,264.2961912,58,61.29308727,0.904280201,0.982634091,2.696125291,0.012143471,june
250.9437664,541,253.3651869,58,57.08748872,0.782162353,0.993167583,1.628320868,0.006553296,june
258.0944499,609,260.354552,58,12.67640485,0.95955057,0.995677162,1.632606029,0.006386752,june
265.0962223,668,267.7474264,58,-18.1803238,1.078188077,0.995156178,1.995554873,0.007598537,june
133.5446115,0,224.9541579,6,280.2328791,-0.413698977,0.981309693,0.755969513,0.005767354,june
14.44398302,112,179.2778179,6,177.8126783,0.103059049,0.921569649,0.285179148,0.02365504,june
32.09360787,180,183.851648,6,170.2232353,0.42393938,0.991879535,0.114933124,0.003874822,june
42.54587409,272,190.8519135,6,159.0058863,0.747261388,0.995411752,0.205481719,0.005124855,june
48.04355686,351,195.4060327,6,153.3076155,0.87800166,0.996760879,0.230509717,0.005055922,june
58.39365853,430,203.7948984,6,143.5196441,1.032125904,0.995452972,0.394166019,0.007046494,june
66.39366132,482,210.6830617,6,151.3189328,0.893714104,0.992014124,0.517882385,0.008100054,june
80.29353742,541,223.7921431,6,146.6476985,0.96016142,0.993734866,0.599407605,0.007701249,june
107.4444534,609,216.1678962,6,117.6593572,0.918482741,0.994858026,0.700239572,0.006670253,june
117.0948213,668,224.7818477,6,88.91281782,1.161579975,0.990153111,1.341304311,0.011701308,june
132.5945579,0,192.5645279,62,254.7076033,-0.46882221,0.986801456,0.712708289,0.005477006,june
17.39406688,112,176.8869962,62,178.0809362,-0.068744108,0.749416576,0.136540183,0.009109534,june
32.09360787,180,177.0252573,62,174.4403913,0.07953706,0.733997515,0.143464863,0.004836732,june
42.39404857,272,178.8772955,62,168.949101,0.234809274,0.9612073,0.190341388,0.004765063,june
49.5440197,351,181.0312964,62,165.2514142,0.318032393,0.982604307,0.201293807,0.004274545,june
60.7442345,430,184.9712551,62,161.9021418,0.379192791,0.98664601,0.259742974,0.004456274,june
69.64374552,482,188.2930054,62,159.9725013,0.407426896,0.991348681,0.25830677,0.003844719,june
75.09423098,541,190.5969001,62,158.8174619,0.423536823,0.985387168,0.37842536,0.00521005,june
106.8440117,609,191.0402981,62,157.7264172,0.311839122,0.97706664,0.503737879,0.004826022,june
116.6460193,668,195.0261934,62,144.0758312,0.4371503,0.990555016,0.492338393,0.004312003,june
134.3937176,0,209.4043429,66,346.9698987,-1.023698654,0.99636178,0.824384877,0.006248778,june
18.4439301,112,172.8480041,66,184.9349752,-0.657348137,0.99568851,0.070061529,0.004369526,june
26.79444222,180,170.0745594,66,172.3233979,-0.086775987,0.973901611,0.107581556,0.004415915,june
42.99457185,272,171.6740519,66,157.7671672,0.322066201,0.977481733,0.200207804,0.004937934,june
52.34505493,351,176.8869331,66,142.435381,0.65669784,0.994457366,0.247076788,0.004952421,june
58.5435798,430,181.7627883,66,133.6845565,0.819573621,0.996424921,0.278140343,0.004959016,june
67.64392271,482,191.1935149,66,119.8673438,1.05345554,0.997589137,0.341007329,0.005231348,june
78.99384798,541,205.79094,66,100.1304493,1.33685645,0.998438948,0.408664713,0.005339734,june
109.594497,609,202.185101,66,110.0726619,0.838322619,0.987300331,1.028912275,0.009604388,june
117.3437692,668,212.4646895,66,46.31812229,1.415093438,0.998099436,0.716581262,0.006237727,june
227.3829597,0,262.232409,78,541.2676673,-1.228516535,0.991137089,2.639386126,0.011735167,june
85.63239297,112,186.6191668,78,209.5421824,-0.268402486,0.961147809,0.453370991,0.005451125,june
102.1821924,180,188.6716688,78,142.0892507,0.45603641,0.989187365,0.480272474,0.004816294,june
109.5333382,272,194.6207476,78,89.10942334,0.96178518,0.995326567,0.712783975,0.006657333,june
127.5825178,351,223.2972883,78,7.277992917,1.691261704,0.994845932,1.538538676,0.01229688,june
134.1329166,430,236.2946398,78,-32.11221021,1.999705844,0.995402475,1.807543212,0.013728269,june
157.3495194,482,249.2226951,78,-100.9933373,2.228272775,0.995403623,2.368983341,0.015295495,june
183.033578,541,252.8763676,78,-214.0649561,2.553147685,0.998091185,2.036524647,0.011278716,june
205.2823866,609,238.3608379,78,-192.9227814,2.100889095,0.995585101,2.866204317,0.014132249,june
213.8824433,668,260.2783761,78,-297.2832524,2.607085878,0.998680779,2.023574174,0.009571672,june
228.0823786,0,290.7912034,83,655.2923298,-1.597505081,0.996080249,2.283886727,0.010123048,june
90.03223275,112,196.3208998,83,220.0141129,-0.26309856,0.966347694,0.43430947,0.004959594,june
103.6330072,180,203.4437675,83,104.8361552,0.951258117,0.996208482,0.59973654,0.005928118,june
111.4323823,272,215.6975378,83,13.73635226,1.811168697,0.9980705,0.876564665,0.008044288,june
122.8322252,351,243.8019762,83,-91.08423518,2.727899878,0.998263458,1.38337819,0.011493053,june
136.6830469,430,285.0055029,83,-153.435394,3.207468589,0.998042354,1.925950184,0.014349671,june
158.8990947,482,304.0749557,83,-335.4420764,4.026612819,0.99699704,3.500093318,0.022374673,june
177.3336699,541,265.1089031,83,-421.3358407,3.862088532,0.996644407,1.968590938,0.011257849,june
204.083341,609,251.0394249,83,-274.5678303,2.57661756,0.997451926,2.652256443,0.013155186,june
210.9332698,668,274.1946437,83,-554.0725379,3.927442052,0.995940833,5.279916164,0.025327856,june
228.2826058,0,255.2729182,90,493.0366119,-1.041288968,0.99501905,1.680531329,0.007442153,june
86.98283452,112,187.5912686,90,215.8697329,-0.325040643,0.984001721,0.353852908,0.004186618,june
104.2329254,180,188.2667888,90,161.1532237,0.25940765,0.969554914,0.472556395,0.004643465,june
114.9827114,272,195.9691642,90,90.92900067,0.911822783,0.997344447,0.534773987,0.00475283,june
